Model created!
Starting value iteration ...
Value iteration complete!
50.3141571983 90 100
50.6283019942 80 100
50.9424219858 80 100
51.2565047722 80 100
51.5705379539 80 100
51.8845091335 80 100
52.1984059159 80 100
52.512215909 80 100
52.8259267241 80 100
53.1395259765 80 100
53.4530012857 80 100
53.7663402764 80 100
54.0795305784 80 100
54.3925598275 80 100
54.7054156659 80 100
55.0180857426 80 100
55.3305577138 80 100
55.6428192437 80 100
55.9548580047 80 100
56.2666616782 80 100
56.5782179546 80 100
56.8895145342 80 100
57.2005391276 80 100
57.511279456 80 100
57.821723252 80 100
58.1318582597 80 100
58.4416722356 80 100
58.7511529488 80 100
59.0602881814 80 100
59.3690657293 80 100
59.6774734025 80 100
59.9854990257 80 100
60.2931304385 80 100
60.6003554961 80 100
60.9071620698 80 100
61.2135380475 80 100
61.5194713338 80 100
61.8249498512 80 100
62.1299615398 80 100
62.4344943582 80 100
62.7385362842 80 100
63.0420753145 80 100
63.345099466 80 100
63.6475967759 80 100
63.949555302 80 100
64.2509631235 80 100
64.5518083414 80 100
64.8520790789 80 100
65.1517634816 80 100
65.4508497187 80 100
65.7493259828 80 100
66.0471804904 80 100
66.3444014827 80 100
66.6409772261 80 100
66.9368960123 80 100
67.2321461587 80 100
67.5267160096 80 100
67.8205939357 80 100
68.1137683352 80 100
68.4062276342 80 100
68.6979602869 80 100
68.9889547761 80 100
69.2791996139 80 100
69.5686833419 80 100
69.8573945317 80 100
70.1453217857 80 100
70.4324537368 80 100
70.7187790497 80 100
71.0042864206 80 100
71.2889645783 80 100
71.572802284 80 100
71.8557883325 80 100
72.1379115519 80 100
72.4191608045 80 100
72.699524987 80 100
72.9789930311 80 100
73.2575539039 80 100
73.5351966083 80 100
73.8119101834 80 100
74.0876837051 80 100
74.3625062863 80 100
74.6363670774 80 100
74.909255267 80 100
75.1811600818 80 100
75.4520707875 80 100
75.7219766891 80 100
75.990867131 80 100
76.2587314981 80 100
76.5255592153 80 100
76.7913397489 80 100
77.0560626063 80 100
77.3197173367 80 100
77.5822935314 80 100
77.8437808244 80 100
78.1041688926 80 100
78.3634474563 80 100
78.6216062797 80 100
78.8786351711 80 100
79.1345239834 80 100
79.3892626146 80 100
79.6428410081 80 100
79.8952491529 80 100
80.1464770845 80 100
80.3965148847 90 100
80.6453526826 100 100
80.8929806545 100 100
81.1393890244 100 100
81.3845680645 100 100
81.6285080957 100 100
81.8711994874 100 100
82.1126326588 100 100
82.3527980785 100 100
82.591686265 100 100
82.8292877876 100 100
83.0655932662 100 100
83.3005933717 100 100
83.5342788268 100 100
83.7666404061 100 100
83.9976689361 100 100
84.2273552964 100 100
84.4556904194 100 100
84.6826652906 100 100
84.9082709497 100 100
85.1324984899 100 100
85.3553390593 100 100
85.5767838605 100 100
85.7968241511 100 100
86.0154512444 100 100
86.2326565094 100 100
86.4484313711 100 100
86.6627673111 100 100
86.8756558679 100 100
87.0870886369 100 100
87.2970572712 100 100
87.5055534815 100 100
87.7125690368 100 100
87.9180957644 100 100
88.1221255506 100 100
88.3246503405 100 100
88.5256621388 100 100
88.7251530099 100 100
88.9231150784 100 100
89.1195405288 100 100
89.3144216068 100 100
89.5077506188 100 100
89.6995199324 100 100
89.8897219769 100 100
90.0783492435 100 100
90.2653942856 100 100
90.4508497187 100 100
90.6347082217 100 100
90.8169625359 100 100
90.9976054663 100 100
91.1766298814 100 100
91.3540287137 100 100
91.5297949598 100 100
91.7039216807 100 100
91.8764020021 100 100
92.0472291149 100 100
92.2163962751 100 100
92.3838968043 100 100
92.5497240897 100 100
92.713871585 100 100
92.8763328097 100 100
93.0371013502 100 100
93.1961708596 100 100
93.3535350582 100 100
93.5091877335 100 100
93.6631227405 100 100
93.8153340022 100 100
93.9658155095 100 100
94.1145613217 100 100
94.2615655666 100 100
94.4068224407 100 100
94.5503262094 100 100
94.6920712076 100 100
94.8320518393 100 100
94.9702625783 100 100
95.1066979684 100 100
95.2413526233 100 100
95.3742212271 100 100
95.5052985342 100 100
95.6345793702 100 100
95.762058631 100 100
95.8877312842 100 100
96.0115923683 100 100
96.1336369935 100 100
96.2538603417 100 100
96.3722576667 100 100
96.4888242944 100 100
96.6035556229 100 100
96.7164471228 100 100
96.8274943374 100 100
96.9366928827 100 100
97.0440384477 100 100
97.1495267946 100 100
97.253153759 100 100
97.3549152497 100 100
97.4548072495 100 100
97.5528258148 100 100
97.6489670759 100 100
97.7432272373 100 100
97.8356025779 100 100
97.9260894509 100 100
98.0146842838 100 100
98.1013835793 100 100
98.1861839145 100 100
98.2690819417 100 100
98.3500743881 100 100
98.4291580564 100 100
98.5063298245 100 100
98.5815866457 100 100
98.6549255491 100 100
98.7263436393 100 100
98.7958380969 100 100
98.8634061784 100 100
98.9290452163 100 100
98.9927526192 100 100
99.0545258722 100 100
99.1143625364 100 100
99.1722602498 100 100
99.2282167265 100 100
99.2822297574 100 100
99.3342972104 100 100
99.3844170298 100 100
99.4325872369 100 100
99.4788059301 100 100
99.5230712848 100 100
99.5653815535 100 100
99.6057350657 100 100
99.6441302285 100 100
99.680565526 100 100
99.7150395198 100 100
99.7475508491 100 100
99.7780982302 100 100
99.8066804572 100 100
99.8332964017 100 100
99.857945013 100 100
99.8806253181 100 100
99.9013364214 100 100
99.9200775054 100 100
99.9368478303 100 100
99.9516467339 100 100
99.964473632 100 100
99.9753280183 100 100
99.9842094642 100 100
99.991117619 100 100
99.9960522102 100 100
99.9990130428 100 100
100.0 100 100
99.9990130428 100 100
99.9960522102 100 100
99.991117619 100 100
99.9842094642 100 100
99.9753280183 100 100
99.964473632 100 100
99.9516467339 100 100
99.9368478303 100 100
99.9200775054 100 100
99.9013364214 100 100
99.8806253181 100 100
99.857945013 100 100
99.8332964017 100 100
99.8066804572 100 100
99.7780982302 100 100
99.7475508491 100 100
99.7150395198 100 100
99.680565526 100 100
99.6441302285 100 100
99.6057350657 100 100
99.5653815535 100 100
99.5230712848 100 100
99.4788059301 100 100
99.4325872369 100 100
99.3844170298 100 100
99.3342972104 100 100
99.2822297574 100 100
99.2282167265 100 100
99.1722602498 100 100
99.1143625364 100 100
99.0545258722 100 100
98.9927526192 100 100
98.9290452163 100 100
98.8634061784 100 100
98.7958380969 100 100
98.7263436393 100 100
98.6549255491 100 100
98.5815866457 100 100
98.5063298245 100 100
98.4291580564 100 100
98.3500743881 100 100
98.2690819417 100 100
98.1861839145 100 100
98.1013835793 100 100
98.0146842838 100 100
97.9260894509 100 100
97.8356025779 100 100
97.7432272373 100 100
97.6489670759 100 100
97.5528258148 100 100
97.4548072495 100 100
97.3549152497 100 100
97.253153759 100 100
97.1495267946 100 100
97.0440384477 100 100
96.9366928827 100 100
96.8274943374 100 100
96.7164471228 100 100
96.6035556229 100 100
96.4888242944 100 100
96.3722576667 100 100
96.2538603417 100 100
96.1336369935 100 100
